yale_name,seller_name_bloomberg,match_score,target_name,acquirer_name,announce_date,deal_value_mn_usd,deal_type,deal_status,payment_type,tv_ebitda
Mondi,Mondi PLC,100,Mondi Syktyvkar OAO,Augment Investments Ltd,2022/08/12,1545.65,M&A,Terminated,Cash,
YKK Group,Raven Property Group Ltd,87.5,2M sq mtr warehouse/Moscow,Potential Buyer,2025/10/29,1133.33,M&A,Proposed,Cash,
Mondi,Mondi PLC,100,Syktyvkarsky Forestry Enterprise JSC,Sezar Group OOO,2023/09/21,834.4,M&A,Completed,Cash,
Henkel,Henkel AG & Co KGaA,100.0,Russian business activities/Henkel AG & Co KGaA,Private Investor,2023/05/04,690.66,M&A,Completed,Cash,
Enel,Enel SpA,100,EL5-ENERO PJSC,"LUKOIL PJSC,Gazprombank JSC",2022/06/16,609.28,M&A,Completed,Cash,6.63
Ball Corporation,Ball Corp,100,Beverage packaging unit/Russia,DKK Zao,2022/09/22,530.0,M&A,Completed,Cash,
Nokia,Nokian Renkaat Oyj,100.0,Russian plant/Nokian Renkaat Oyj,Tatneft PJSC,2022/08/29,400.6,M&A,Completed,Cash,
Sylvamo,Sylvamo Corp,100,Russian operations/Sylvamo,Pulp Invest LLC,2022/10/06,390.0,M&A,Completed,Cash,
Kinross Gold,Kinross Gold Corp,100,"Kupol mine/Russia,Udinsk project/Russia",Highland Gold Mining Ltd,2022/04/05,340.0,M&A,Completed,Cash,
Carlsberg,Carlsberg AS,100.0,Russian business/Carlsberg AS,Private Investor,2024/12/03,320.62,M&A,Withdrawn,Cash,
Arconic,Arconic Corp,100,Operations facility/Russia,VSMPO-AVISMA Corp PJSC,2022/05/19,230.0,M&A,Completed,Cash,
MAN,LVL1 Management Ltd,100.0,Selectel Co Ltd,Catalytic People IPJSC,2025/12/29,204.0,INV,Completed,Cash,16.38
Danone,Danone SA,100,Russian operations/Danone,Potential Buyer,2024/02/21,191.69,M&A,Withdrawn,Cash,
Eastnine,Eastnine AB,100,Melon Fashion Group OAO,GEM Invest LLC,2023/08/07,163.49,INV,Completed,Cash,
Huhtamaki,Huhtamaki Oyj,100,4 manufacturing units,Espetina Ltd,2022/04/14,163.32,M&A,Completed,Cash,
Ford,Fortiana Holdings Ltd,85.71428571428572,Chulbatkan gold deposit/Khabarovsk,Polyus PJSC,2022/06/17,140.0,M&A,Pending,Cash,
Volkswagen,Volkswagen AG,100,Volkswagen plant/Kaluga,Avilon AG ZAO,2023/03/01,131.8,M&A,Completed,Cash,
Essity,Essity AB,100,Russian Operations/Essity AB,NEW Technologies LLC,2023/06/10,110.88,M&A,Completed,Cash,
AmRest,AmRest Holdings SE,100.0,KFC Russia Restaurant Business'/AMREST HOLDINGS,Almira OOO,2022/12/06,104.82,M&A,Completed,Cash,
Hyve,Hyve Group PLC,100.0,Russian Business / Hyve Group plc,Rise Expo ltd,2022/04/06,94.15,M&A,Withdrawn,Cash,
Alstom,Alstom SA,100,Transmashholding ZAO,Unnamed Buyer,2023/11/17,81.68,INV,Completed,Cash,
Inchcape,Inchcape PLC,100,Russian business operations/Inchcape,Management Group,2022/04/28,79.9,M&A,Pending,Cash,
CNH Industrial,CNH Industrial NV,100,Business activities/Russia,Unnamed Buyer,2022/03/31,60.0,M&A,Completed,Cash,
Mondi,Mondi PLC,100,3 Russian packaging converting operations/MONDI PLC,GOTEC Gorschlueter GmbH,2022/12/15,24.77,M&A,Completed,Cash,
Magna,Magna International Inc,100.0,Russian assets/Magna International Inc,Unnamed Buyer,2023/08/11,15.0,M&A,Completed,Cash,
ESET,BEVEST ASA,85.71428571428572,Office building/KMC Properties ASA,Unnamed Buyer,2022/11/29,9.93,M&A,Completed,Cash,
Wienerberger,Wienerberger AG,100,Russian operations/Wienerberger AG,Private Investor,2024/02/21,9.73,M&A,Completed,Cash,
Aspo,Aspo Oyj,100,Telko OOO,TD Khimik AO,2022/10/17,9.35,M&A,Completed,Undisclosed,
Starbucks,Starbucks Corp,100,Coffee store/Russia,Private Investor,2023/06/15,5.99,M&A,Completed,Cash,
SRV,SRV Group Oyj,100.0,SRV Development LLC,Geomare Investments Ltd,2023/08/02,4.4,INV,Completed,Cash,
Petro,PetroNeft Resources PLC,100.0,Lineynoe OOO,Private Investor,2023/06/14,2.5,M&A,Withdrawn,Cash,
Raisio,Raisio Oyj,100,Nordik Niyutrishyen OOO,Kopeker Agro OOO,2022/04/29,1.58,M&A,Completed,Cash,
Heineken,Heineken NV,100,Certain assets/Heineken NV,DKK Zao,2023/08/25,,M&A,Completed,Cash,
Renault,Renault SA,100,Avtovaz PJSC,Unnamed Buyer,2022/04/27,,M&A,Completed,Cash,
Home Credit,UniCredit SpA,80.0,AO Bank Onego,Potential Buyer,2026/05/07,,INV,Proposed,Cash,
Enel,Gentlia Ltd,75.0,Pavlik AO,Aurum Trade JSC,2026/04/27,,M&A,Completed,Stock,
APG,Aggreko PLC,80.0,Eurasian business,Potential Buyer,2022/03/02,,M&A,Withdrawn,Cash,
Intel,Intesa Sanpaolo SpA,88.88888888888889,Russian Operations/Intesa Sanpaolo SpA,Potential Buyer,2022/03/03,,M&A,Withdrawn,Cash,
NCR,TJX Cos Inc/The,80.0,Maxima Group LLC/Russia,Unnamed Buyer,2022/03/03,,INV,Completed,Undisclosed,
ARM,Carmignac Gestion SA,100.0,Russian assets/Carmignac Gestion SA,Potential Buyer,2022/03/07,,M&A,Withdrawn,Cash,
Maersk,AP Moller - Maersk A/S,100.0,Globaltrans Investment PLC,Potential Buyer,2022/03/11,,INV,Withdrawn,Undisclosed,
Kinross Gold,Kinross Gold Corp,100,Russia Assets/Kinross Gold Corp,Fortiana Holdings Ltd,2022/03/30,,M&A,Withdrawn,Undisclosed,
Teknos,Teknos Group Oy,100.0,Talatu OOO,Unnamed Buyer,2022/03/31,,M&A,Completed,Undisclosed,
Fortum,Fortum Oyj,100,Russia Assets/Fortum Oyj,Potential Buyer,2022/05/12,,M&A,Withdrawn,Cash,
EPAM,EPAM Systems Inc,100.0,Russian Assets/EPAM System Inc,Unnamed Buyer,2022/05/12,,M&A,Pending,Cash,
MV Group,Authentic Brands Group Inc,85.71428571428572,100 stores/Russia,FLO Magazacilik Ve Pazarlama AS,2022/05/16,,M&A,Withdrawn,Cash,
Renault,Renault SA,100,Russian assets of Renault,Russian Federation,2022/05/16,,M&A,Completed,Cash,
Sharp Group,PPF Group NV,87.5,"Home Credit & Finance Bank OOO,Banking Assets/Russia",Investor Group,2022/05/17,,M&A,Completed,Undisclosed,
OBI,Exxon Mobil Corp,100.0,Sakhalin-I oil & gas project,Potential Buyer,2022/05/19,,M&A,Withdrawn,Cash,
MAN,Prof-Media Management LLC,100.0,Ivi.Ru OOO,Mobile TeleSystems PJSC,2022/05/20,,M&A,Pending,Cash,
Levi Strauss,Levi Strauss & Co,100.0,Russian Retail shops/ Levi Strauss,Potential Buyer,2022/05/23,,M&A,Withdrawn,Undisclosed,
Zurich Insurance Group,Zurich Insurance Group AG,100,Zurich Russia,Private Investor,2022/05/24,,M&A,Pending,Undisclosed,
Dell,DELFINGEN,85.71428571428572,Delfingen Russian Plant,Unnamed Buyer,2022/05/30,,M&A,Completed,Undisclosed,
Oerlikon,OC Oerlikon Corp AG,100.0,Russia assets/OC Oerlikon,Management Group,2022/06/02,,M&A,Pending,Undisclosed,
Meta,SOK Retail Int Oy,75.0,PRISMA supermarkets & kitchen facility/St Petersburg,X5 Retail Group NV,2022/06/16,,M&A,Pending,Cash,
S Group (Suomen Osuuskauppojen Keskuskunta),Suomen Osuuskauppojen Keskuskunta,100.0,Hotel business/St Petersburg,Private Investor,2022/06/22,,M&A,Pending,Cash,
KONE,Kone Oyj,100,Bussiness in Russia / Kone,S8 Capital AO,2022/06/28,,M&A,Completed,Cash,
Michelin,Cie Generale des Etablissements Michelin SCA,100.0,Russian operation,Management Group,2022/06/28,,M&A,Withdrawn,Cash,
KLP,Attestor Capital LLP,80.0,GTLK European Unit,Potential Buyer,2022/06/28,,M&A,Withdrawn,Undisclosed,
PKO BP,BP PLC,100.0,Rosneft Oil Co PJSC,Unnamed Buyer,2022/02/27,,INV,Pending,Undisclosed,
Ball Corporation,Government Pension Fund Global,85.71428571428572,Russian assets/Government Pension Fund Global,Potential Buyer,2022/02/28,,M&A,Withdrawn,Cash,
Citi,Citigroup Inc,100.0,"Expobank LLC,RESO-Garantia Insurance PJSC",Potential Buyer,2022/07/01,,M&A,Withdrawn,Undisclosed,
Schneider Electric,Schneider Electric SE,100,Russian operations/Schneider Electric SE,Management Group,2022/07/03,,M&A,Pending,Cash,
Energizer,TotalEnergies SE,82.35294117647058,Kharyaga oil field,Unnamed Buyer,2022/07/06,,M&A,Completed,Cash,
LVMH,LVMH Moet Hennessy Louis Vuitton SE,100.0,Sephora Russia,Unnamed Buyer,2022/07/11,,M&A,Pending,Undisclosed,
Danfoss,Danfoss A/S,100,Russian business/Danfoss,Management Group,2022/07/15,,M&A,Pending,Undisclosed,
Energizer,TotalEnergies SE,82.35294117647058,Terneftegas ZAO,Novatek PJSC,2022/07/18,,M&A,Completed,Undisclosed,
TTC Holding,HSBC Holdings PLC,85.71428571428572,Russian unit/HSBC Holdings Plc,Expobank LLC,2022/07/21,,M&A,Pending,Cash,
Otis Worldwide,Otis Worldwide Corp,100,Russia business/Otis Worldwide Corp,S8 Capital AO,2022/07/27,,M&A,Pending,Cash,
Volkswagen,Volkswagen AG,100,Car assembly site/Russia,Asia Auto,2022/07/28,,M&A,Withdrawn,Cash,
Koch Industries,Koch Industries Inc,100,Portfolio of 2 glass plants unit/Russia,Private Investor,2022/07/29,,M&A,Completed,Cash,
Baker Hughes,Baker Hughes Co,100,Oilfield Services Unit/Russia,Management Group,2022/08/01,,M&A,Pending,Undisclosed,
TTC Holding,Kahrs Holding AB,84.21052631578947,Business operation/Russia,Potential Buyer,2022/08/09,,M&A,Withdrawn,Cash,
Mercedes-Benz,Mercedes-Benz Group AG,100.0,Car assembly plany/Moscow,Potential Buyer,2022/08/26,,M&A,Withdrawn,Cash,
Maersk,AP Moller - Maersk A/S,100.0,Global Ports Investments PLC,Delo Group,2022/08/29,,M&A,Completed,Undisclosed,
Halliburton,Halliburton Co,100,NPP Burservis AO,Management Group,2022/09/08,,M&A,Completed,Undisclosed,
International Boxing Federation,Traton SE,83.33333333333334,Russian Auto Dealership Business/MAN Truck & Bus SE,Unnamed Buyer,2022/09/13,,M&A,Pending,Cash,
Bunge,Bunge Global SA,100.0,Russia Oilseed Processing Plant and Business/Bunge Ltd,Private Investor,2022/09/19,,M&A,Completed,Cash,
EY,Morgan Stanley (Fund: Morgan Stanley Real Estate Fund VII Global LP),100.0,Metropolis shopping center,Capital Partners LLC,2022/09/20,,M&A,Withdrawn,Undisclosed,
Emerson Electric,Emerson Electric Co,100,"Emerson LLC,PG Metran AO",Management Group,2022/09/27,,M&A,Completed,Undisclosed,
Harvia,Harvia Oyj,100,Premiyum-SPA-Tekhnologii OOO,Private Investor,2022/11/07,,M&A,Pending,Undisclosed,
Meta,Orsu Metals Corp,100.0,Sergeevskoe gold project/Russia,Unnamed Buyer,2022/11/14,,M&A,Completed,Cash,
Holcim,Holcim AG,100,Business/Russia,Unnamed Buyer,2022/12/14,,M&A,Pending,Cash,
Ericsson,Telefonaktiebolaget LM Ericsson,100.0,Local customer support business/Russia,Unnamed Buyer,2022/12/15,,M&A,Pending,Cash,
TTC Holding,Vitol Holding BV,84.21052631578947,Vostok Oil OOO,Fossil Group Inc,2022/12/30,,M&A,Completed,Undisclosed,
Ford,GB Foods Europa SL/The,75.0,Russia business/GB Foods Europa,Samyoung System Co Ltd,2022/10/05,,M&A,Completed,Cash,
Volvo Cars,Volvo AB,100.0,Welding & painting operations/Russia,Private Investor,2022/10/19,,M&A,Completed,Cash,
DWS,Yum! Brands Inc,80.0,Portfolio of KFC Restaurants,Management Group,2022/10/24,,M&A,Completed,Cash,
Atria,Industria de Diseno Textil SA,80.0,Portfolio of Zara Stores/ Russia,Azadea Sal,2022/10/25,,M&A,Pending,Undisclosed,
Kiilto,Kiilto Family Oy,100.0,"Kesto AO,Kesto Family OOO,OOO Kiilto-Klei Ramenskoye",Bergauf Stroitelnye Technologies OOO,2022/10/26,,M&A,Completed,Undisclosed,
Metsa,Highworld Investments Ltd/Cyprus,80.0,HeadHunter Group PLC,Kismet Capital Group,2023/01/11,,INV,Completed,Undisclosed,
Carlsberg,Carlsberg AS,100.0,Russian business/Carlsberg AS,Unnamed Buyer,2023/06/23,,M&A,Pending,Cash,
MAN,Marathon Oil Corp,80.0,Demetra-Holding OOO,Unnamed Buyer,2023/08/11,,INV,Completed,Undisclosed,
Valeo,Valeo SE,100,Powertrain Systems business/Russia,NPK Avtopribor OOO,2023/08/18,,M&A,Pending,Undisclosed,
Australia Post,La Poste SA,87.5,Russian DPD business/Geopost SA,Potential Buyer,2023/09/06,,M&A,Withdrawn,Cash,
British American Tobacco,British American Tobacco PLC,100,"Russian businesses/British American Tobacco PLC,Belarusian businesses/British American Tobacco PLC","Management Group,BFI Holding LLC FZ",2023/09/07,,M&A,Pending,Cash,
Intel,Intesa Sanpaolo SpA,88.88888888888889,Bank Intesa AO,Potential Buyer,2023/09/29,,M&A,Withdrawn,Undisclosed,
Volkswagen,Volkswagen AG,100,Manufacturing facility/Russia,Sistema PJSFC,2023/03/07,,M&A,Withdrawn,Undisclosed,
Carlsberg,Carlsberg AS,100.0,8 breweries/Russia,Anadolu Efes Biracilik Ve Malt Sanayii AS,2023/03/15,,M&A,Withdrawn,Undisclosed,
Henkel,Henkel AG & Co KGaA,100.0,11 Henkels Plants/Russia,Private Investor,2023/03/28,,M&A,Pending,Cash,
ARM,Swixx Biopharma SA,100.0,Russian business/Swixx Biopharma SA,Eli Lilly & Co,2023/03/30,,M&A,Pending,Cash,
UL,HASSLACHER DRAULAND Holzindustrie GmbH,100.0,Russian location/Malaya Vishera,Gruppa Kompaniy Vologodskiye Lesopromyshlenniki AO,2023/05/04,,M&A,Completed,Cash,
Decathlon,Decathlon SA,100,Decathlon Store/Russia,Unnamed Buyer,2023/05/12,,M&A,Withdrawn,Undisclosed,
Michelin,Cie Generale des Etablissements Michelin SCA,100.0,"Mishlen OOO,Spetsialnyye Shiny OOO",Pauer Interneshnl-Metally OOO,2023/05/26,,M&A,Pending,Undisclosed,
MAN,Goldman Sachs Group Inc/The,100.0,Cian PLC,Unnamed Buyer,2023/02/16,,INV,Completed,Cash,
Aon PLC,Stichting INGKA Foundation,80.0,3 factories/Russia,"Luzales OOO,Slotex",2023/02/16,,M&A,Completed,Cash,
Aon PLC,Stichting INGKA Foundation,80.0,2 million sq m m of real estate/Russia,Potential Buyer,2023/02/17,,M&A,Withdrawn,Undisclosed,
Ford,PJV Digital Forces Ltd,75.0,RNKO VK Platozhnyye Resheniya OOO,VK IPJSC,2023/02/18,,M&A,Pending,Undisclosed,
TTC Holding,PPF Real Estate Holding BV,85.71428571428572,Trilogy Park logistics park,Private Investor,2023/02/20,,M&A,Withdrawn,Cash,
Maersk,AP Moller - Maersk A/S,100.0,Logistics assets/St Petersburg & Novorossiysk,IG Finance Development Ltd,2023/02/20,,M&A,Completed,Cash,
Lear Corporation,Schaeffler AG,85.71428571428572,Russian business/Schaeffler,Private Investor,2023/02/25,,M&A,Pending,Undisclosed,
